Source,Target
DLX4,NR2F2
DLX4,SNAI3
DLX4,TCF21
DLX4,ESR2
DLX4,FOXJ2
DLX4,SHOX
DLX4,USF3
DLX4,ZNF578
DLX4,FOXP2
DLX4,NR1H4
DLX4,ZNF777
DLX4,HOXD13
DLX4,ZNF99
DLX4,TBX5
DLX4,DMRTA1
DLX4,SKIL
DLX4,NPAS4
DLX4,TBX1
DLX4,SMAD4
DLX4,ZSCAN23
DLX4,IKZF1
DLX4,ZNF710
DLX4,GATA4
DLX4,RREB1
DLX4,PROX2
DLX4,ONECUT1
DLX4,GATA4
DLX4,E2F2
DLX4,PAX9
DLX4,ONECUT2
DLX4,SIM1
DLX4,SIX1
DLX4,SOX5
DLX4,GATAD2A
DLX4,IRF4
DLX4,NEUROD4
DLX4,HOXA1
DLX4,NR1I3
DLX4,PAX4
DLX4,ZNF443
DLX4,NKX2-1
DLX4,DR1
DLX4,ZSCAN10
DLX4,KLF14
DLX4,SCML4
DLX4,HNF1A
DLX4,MEOX2
DLX4,HOXB8
DLX4,EHF
DLX4,POU3F4
DLX4,HOXA13
DLX4,ZNF804B
DLX4,HOXD4
DLX4,ZFP1
DLX4,RREB1
DLX4,PITX1
DLX4,POU2F3
DLX4,ZFP42
DLX4,HMGA2
DLX4,EBF2
DLX4,HMGA2
DLX4,FOXA1
DLX4,FOXE1
DLX4,NR2F6
DLX4,ESR2
DLX4,DOT1L
DLX4,GSX1
DLX4,ELF5
DLX4,ZNF583
DLX4,MKX
DLX4,TBX20
DLX4,HOXD13
DLX4,HOXA7
DLX4,SHOX2
DLX4,REPIN1
DLX4,NFKB2
DLX4,MYNN
DLX4,PRDM15
DLX4,DMRT1
DLX4,HOXA13
DLX4,NR5A2
DLX4,LBX1
DLX4,ZBTB24
DLX4,GSC2
DLX4,ZNF705G
DLX4,ZNF821
DLX4,FOXD3
DLX4,ZNF771
DLX4,ZNF214
DLX4,NFATC2
DLX4,ZNF92
DLX4,HOXB8
DLX4,FOXD3
DLX4,PATZ1
DLX4,IRF6
DLX4,ZSCAN20
DLX4,GATAD2A
DLX4,ZNF324B
DLX4,DMRTC2
DLX4,HMG20B
DLX4,ZNF572
DLX4,ZNF33B
DLX4,ESRRB
DLX4,FOXD3
DLX4,NKX3-2
DLX4,RAG1
DLX4,ZNF782
DLX4,ZKSCAN3
DLX4,EBF3
DLX4,SP140L
DLX4,HES2
DLX4,SPZ1
DLX4,ESR1
DLX4,FOXN1
